Category,Source,Provider,Dataset/Product ID,Access/API,Coverage,Spatial Res,Temporal Res,Auth Required,Access Mode,Schema Slots,Priority,Notes,Independence/Upstream
Waves/Sea State,NOAA WaveWatch III Reanalysis,NOAA NCEP,Global Hindcast,NOMADS/THREDDS/GRIB2,1979 to present,~0.5° (varies),Hourly/3-hourly,No,API/On-demand (NOMADS subset) | Large Dataset (full),New: wave_height,MEDIUM,"Significant wave height, period, wind-sea, swell; subset spatially/temporally via NOMADS.",Independent of ERA5 Waves
Waves (alt),ERA5 Waves,ECMWF/C3S,reanalysis-era5-single-levels (wave vars),CDS API,1979 to present,0.25°,Hourly,Free (account),API/On-demand,New: wave_height,MEDIUM,Global wave parameters; robust archive; use CDS API with spatial/temporal filters.,Independent of NCEP WaveWatch
MPAs,World Database on Protected Areas (Marine subset),UNEP-WCMC/IUCN,WDPA,Shapefile/API (Protected Planet),Global,Vector,Static/updated monthly,Free (license restrictions),Small Download (per-country) | Large Dataset (global),New: marine_protection_status,LOW,Marine protected areas overlay; API for metadata or small shapefiles per region.,Independent
Zones,Exclusive Economic Zones (EEZ),Marine Regions,EEZ v12,Shapefile/WFS,Global,Vector,Static/periodic updates,No,Small Download,"New: eez_zone, jurisdiction",LOW,For jurisdictional context & coastal proximity; ~122 MB GeoPackage manageable.,Independent
Biogeography (coastal),MEOW - Marine Ecoregions of the World,TNC/WWF et al.,MEOW,Shapefile/GeoJSON,Global coasts & shelves,Vector,Static,No,Small Download,New: coastal_ecoregion,MEDIUM,Hierarchical realms/provinces/ecoregions; small shapefile for coastal biogeographic context.,Independent of Longhurst
Biogeography (pelagic),PPOW - Pelagic Provinces of the World,Spalding et al. 2012,PPOW 2012,Shapefile/GeoJSON,Global off-shelf,Vector,Static,No,Small Download,New: pelagic_province,MEDIUM,Pelagic biogeographic provinces; small shapefile for open ocean biogeographic context.,Independent of MEOW
Biogeography (alt),Longhurst Provinces,Longhurst,Longhurst,Shapefile,Global oceans,Vector,Static,No,Small Download,longhurst (GOLD existing),HIGH,Common ocean biogeographic scheme; already in GOLD database; extend to NMDC.,Independent of MEOW/PPOW
Currents/Winds (in-situ),NDBC Buoy Network (waves/wind/SST),NOAA NDBC,Station archives,HTTP/ERDDAP (various),1970s to present (station dependent),Point,10 min–hourly,No,API/On-demand,Validation source,LOW,Nearshore validation for waves/SST; point-based in-situ data for coastal validation.,In-situ
Inland Water Classification,JRC Global Surface Water,JRC/Google,Monthly Water History,Earth Engine API / Tiles,1984 to present,30m,Monthly,Free (Google account),API/On-demand (Earth Engine) | Large Dataset (tiles),New: inland_water_flag,HIGH,Historical inland water detection; use Earth Engine API for point queries to avoid multi-GB tiles.,Independent
Coastlines,GSHHG Global Coastlines,NOAA/SOEST,GSHHG,Shapefile download,Global static,Vector (multi-resolution),Static,No,Small Download,New: distance_to_coast,MEDIUM,Global coastline vectors; ~142 MB for distance calculations and coastal proximity.,Independent
Lakes,Natural Earth Lakes,Natural Earth,10m lakes,Shapefile/GeoJSON,Global static,Vector,Static,No,Small Download,New: lake_proximity,LOW,High-quality lake boundaries; few MB; useful for inland water classification.,Independent
Rivers,HydroRIVERS,HydroSHEDS,Continent shapefiles,Shapefile download,Global static,Vector,Static,No,Small Download (per continent),New: river_proximity,LOW,Continental river networks; 9-95 MB per continent; useful for freshwater context.,Independent
